onscode, officers, PCSOs
E23000036,616,101
E23000026,159,26
E23000023,113,63
E23000006,182,30
E23000034,134,77
E23000013,409,18
E23000002,109,33
E23000018,253,7
E23000035,531,15
E23000039,248,25
E23000008,350,193
E23000028,641,27
E23000037,188,62
E23000005,1664,23
E23000030,780,48
E23000027,236,70
E23000012,498,54
E23000032,644,117
E23000003,706,10
E23000021,413,6
E23000020,125,36
E23000004,850,128
E23000001,1574,2956
E23000024,105,99
E23000009,105,-28
E23000022,762,337
E23000007,139,6
E23000019,374,-11
E23000011,415,58
E23000015,476,8
E23000025,141,17
E23000031,34,91
E23000033,490,77
E23000029,90,27
E23000017,118,48
E23000016,305,58
E23000014,1583,241
E23000010,1170,185
E23000038,195,9
W15000004,29,-54
W15000002,242,-35
W15000001,118,-71
W15000003,239,-77
