Avon and Somerset,Kerry Barker
Warwickshire,JULIE JACKSON
Lincolnshire,Lucinda Preston
Cleveland,Barry Coppinger
Lancashire,Clive Grunshaw
Suffolk,Cath Picklesÿ
South Yorkshire,Alan Billings
Nottinghamshire,Paddy Tipping 
Gwent,Jeff Cuthbert 
Humberside,Keith Hunter
Staffordshire,GEORGE ADAMSON
South Wales,Alun Michael
Dyfed Powys,Kevin Madge 
Hertfordshire,Kerry Pollard
West Yorkshire,Mark Burns-Williamson 
Sussex,Michael Jones
Bedfordshire,Olly Martins 
Kent,Tristan Osborneÿ
Northumbria ,Vera Baird
Merseyside,Jane Kennedy
West Mercia,DANIEL WALTON
Cambridgeshire,Dave Baigentÿ
Cheshire,David Keane
Devon and Cornwall,Gareth Derrick
Dorset,Patrick Canavan
Norfolk,Chris Jonesÿ
North Wales,David Taylor 
Hampshire,Robin Price
Essex,Chris Vince
Surrey,ÿHoward Kay
Derbyshire,ÿHardyal Dhindsa
Gloucestershire,Barry Kirby
North Yorkshire,Steve Howley
Leicestershire,Lord Bach
Cumbria,Reg Watson
Durham,Ron Hogg
Northamptonshire ,Kevin McKeever
Thames Valley,Laetisia Carter
West Midlands,David Jamieson
Wiltshire,Kevin Small
